date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
20240101,4.2127,25.39,94.52,0.47,7.2507895613811435,125.43742431906813
20240102,3.0144,25.57,95.95,0.34,7.2507895613811435,125.43742431906813
20240103,4.4232,26.52,86.65,0.49,7.2507895613811435,125.43742431906813
20240104,5.8291,25.87,88.66,0.65,7.2507895613811435,125.43742431906813
20240105,6.2942,25.61,84.83,0.7,7.2507895613811435,125.43742431906813
20240106,3.3626,25.74,91.47,0.37,7.2507895613811435,125.43742431906813
20240107,5.2685,26.13,88.98,0.58,7.2507895613811435,125.43742431906813
20240108,3.9072,26.32,89.99,0.43,7.2507895613811435,125.43742431906813
20240109,3.373,26.33,89.72,0.37,7.2507895613811435,125.43742431906813
20240110,5.0638,27.01,84.83,0.56,7.2507895613811435,125.43742431906813
20240111,5.4799,26.06,85.92,0.6,7.2507895613811435,125.43742431906813
20240112,3.3787,25.98,86.94,0.37,7.2507895613811435,125.43742431906813
20240113,4.6238,25.55,86.29,0.51,7.2507895613811435,125.43742431906813
20240114,4.0013,24.97,87.66,0.44,7.2507895613811435,125.43742431906813
20240115,3.4716,25.39,93.79,0.38,7.2507895613811435,125.43742431906813
20240116,2.6138,24.88,94.78,0.28,7.2507895613811435,125.43742431906813
20240117,3.7764,25.52,88.99,0.41,7.2507895613811435,125.43742431906813
20240118,0.5866,25.12,93.67,0.06,7.2507895613811435,125.43742431906813
20240119,3.8599,25.41,89.44,0.42,7.2507895613811435,125.43742431906813
20240120,3.8635,24.76,90.56,0.42,7.2507895613811435,125.43742431906813
20240121,5.5692,25.13,88.11,0.6,7.2507895613811435,125.43742431906813
20240122,4.9116,25.27,88.56,0.53,7.2507895613811435,125.43742431906813
20240123,4.4458,24.22,91.49,0.48,7.2507895613811435,125.43742431906813
20240124,5.7098,24.79,88.05,0.61,7.2507895613811435,125.43742431906813
20240125,5.1168,24.34,86.23,0.55,7.2507895613811435,125.43742431906813
20240126,3.5777,24.46,88.1,0.38,7.2507895613811435,125.43742431906813
20240127,5.4564,23.23,87.03,0.58,7.2507895613811435,125.43742431906813
20240128,3.9324,23.67,91.52,0.42,7.2507895613811435,125.43742431906813
20240129,1.0255,24.38,93.2,0.11,7.2507895613811435,125.43742431906813
20240130,1.2396,25.21,93.41,0.13,7.2507895613811435,125.43742431906813
20240131,0.5102,25.15,94.84,0.05,7.2507895613811435,125.43742431906813
20240201,3.6672,25.1,94.09,0.39,7.2507895613811435,125.43742431906813
20240202,3.9526,25.75,90.59,0.41,7.2507895613811435,125.43742431906813
20240203,5.4043,25.52,87.02,0.57,7.2507895613811435,125.43742431906813
20240204,3.9869,25.58,88.49,0.42,7.2507895613811435,125.43742431906813
20240205,5.0527,24.89,85.89,0.53,7.2507895613811435,125.43742431906813
20240206,4.1587,24.05,91.55,0.43,7.2507895613811435,125.43742431906813
20240207,4.147,25.08,90.46,0.43,7.2507895613811435,125.43742431906813
20240208,4.5338,26.19,87.14,0.47,7.2507895613811435,125.43742431906813
20240209,4.2307,25.21,86.93,0.44,7.2507895613811435,125.43742431906813
20240210,5.2807,24.82,86.14,0.54,7.2507895613811435,125.43742431906813
20240211,4.5778,24.83,86.39,0.47,7.2507895613811435,125.43742431906813
20240212,5.2994,24.13,83.38,0.54,7.2507895613811435,125.43742431906813
