lat,lon,GHI_mean_2024
7.248773334197735,125.27903570570392,4.962704098360656
7.5582216865457275,125.3954277223372,4.962704098360656
7.490662726623403,125.52639135686697,4.962704098360656
7.103820406023459,125.43025461395166,4.962704098360656
6.997664387634351,125.48357229485629,5.225479234972678
7.186504202839463,125.58117279955552,4.962704098360656
7.082643948792924,125.59090669331697,4.962704098360656
6.9846639385362606,125.44143261351789,5.225479234972678
7.399907576157733,125.29158971069037,4.962704098360656
7.196854508822866,125.37385872374392,4.962704098360656
7.079287320160814,125.44279219402182,4.962704098360656
7.265220151509025,125.27990276577052,4.962704098360656
7.391310354866042,125.32641836838724,4.962704098360656
7.497104383111493,125.42725120945578,4.962704098360656
7.159118166085504,125.55344092355652,4.962704098360656
7.143503109561855,125.40342766053098,4.962704098360656
7.0469907192386145,125.54491858169561,4.962704098360656
7.325655051654223,125.43768920734605,4.962704098360656
7.262226399300142,125.53815976464182,4.962704098360656
7.453140947295389,125.48868069323504,4.962704098360656
7.3158061874708435,125.52200452959624,4.962704098360656
7.153650911684933,125.48578919639068,4.962704098360656
7.221583493063817,125.32050742408747,4.962704098360656
7.108173117168197,125.62688626210678,4.962704098360656
7.38618027587731,125.35840037084992,4.962704098360656
7.465417669433643,125.48474605714004,4.962704098360656
7.220192224917745,125.5361984682935,4.962704098360656
7.064672687297201,125.60799823013475,4.962704098360656
7.281680519504175,125.2949384322768,4.962704098360656
7.408528483420609,125.29064135001029,4.962704098360656
7.2037151064390255,125.43156972054037,4.962704098360656
7.365631377053318,125.36219802158433,4.962704098360656
7.013145711484006,125.39111829637167,4.962704098360656
7.133053544382094,125.43310695489576,4.962704098360656
7.087661764666154,125.4361835024673,4.962704098360656
7.332461638237423,125.36432963123855,4.962704098360656
7.512652890102147,125.30237275095234,4.962704098360656
7.363699674171508,125.42482495889944,4.962704098360656
7.378339849778367,125.49772688772568,4.962704098360656
7.226311660273814,125.25809179908507,4.962704098360656
7.050090344057619,125.37579432910171,4.962704098360656
7.337934388066858,125.26718441148687,4.962704098360656
7.181530879169899,125.49627041714704,4.962704098360656
6.971022736600116,125.50099658791167,5.225479234972678
7.009949809088617,125.59299379355377,4.962704098360656
7.274965259432886,125.45099460344997,4.962704098360656
7.129632899226583,125.44467875312148,4.962704098360656
7.294430318088792,125.37661338689108,4.962704098360656
6.970248567780608,125.4280950897498,5.225479234972678
7.316102880475513,125.28485589968155,4.962704098360656
7.392886310269201,125.26966528603035,4.962704098360656
7.384560290560495,125.35247249769027,4.962704098360656
7.197154992117183,125.48370067596608,4.962704098360656
7.290782724751993,125.35711699337482,4.962704098360656
7.600841286114316,125.4262656942104,4.962704098360656
7.161432251983169,125.46643781490141,4.962704098360656
7.017573764446071,125.39679924354638,4.962704098360656
7.126699930513393,125.57575418989806,4.962704098360656
7.496087443343387,125.2764670990036,4.962704098360656
7.072659578466829,125.29110762613547,4.962704098360656
7.524311471103976,125.50505752533209,4.962704098360656
7.157791085834237,125.31180263711991,4.962704098360656
7.049683258466502,125.45774877468149,4.962704098360656
7.396406135137736,125.28081435202374,4.962704098360656
7.285113674200836,125.27602326161785,4.962704098360656
7.478556367452937,125.31340498199773,4.962704098360656
7.214470252731038,125.66245332561284,4.962704098360656
7.273586225090844,125.361927814855,4.962704098360656
7.576967564492576,125.53550336731553,4.962704098360656
7.0249989908872505,125.52164808510251,4.962704098360656
7.228459781733058,125.28489930756689,4.962704098360656
7.465979715848068,125.44174943782176,4.962704098360656
7.300989292970573,125.32916715818489,4.962704098360656
7.519879300871323,125.50823874204569,4.962704098360656
7.224209714026545,125.50684374011684,4.962704098360656
7.2328560169594756,125.3970516652598,4.962704098360656
7.519717994783392,125.53025978450262,4.962704098360656
7.117202389012063,125.43528213399631,4.962704098360656
7.440808864021943,125.33109593728331,4.962704098360656
7.024596687807386,125.60922043870313,4.962704098360656
7.491898610892649,125.2876971387306,4.962704098360656
7.0496666488687065,125.3664293544172,4.962704098360656
7.0559945497864565,125.35414453481748,4.962704098360656
7.211905864759913,125.54406442076791,4.962704098360656
7.28394202250772,125.37010139327684,4.962704098360656
7.118207953875664,125.33113550836936,4.962704098360656
7.22660723641671,125.4915566507342,4.962704098360656
7.198903578601364,125.24121449412716,4.962704098360656
7.022254171877378,125.46878527121206,4.962704098360656
6.989963312654428,125.61732082269752,5.225479234972678
7.020592040693964,125.66114848000154,4.962704098360656
7.043612702115508,125.59120062124691,4.962704098360656
7.290240803176631,125.47469161660378,4.962704098360656
7.256836901939508,125.62888575849432,4.962704098360656
7.371659959852268,125.40228194654452,4.962704098360656
7.047001065391638,125.34538854658537,4.962704098360656
7.227014488676151,125.44678318752725,4.962704098360656
7.194939601915368,125.3291332016455,4.962704098360656
7.168945676962029,125.39331479827855,4.962704098360656
7.4016578110376585,125.39958398335082,4.962704098360656
7.268601563930007,125.65707480940576,4.962704098360656
7.30401973314737,125.37507492198714,4.962704098360656
7.143391062929784,125.52114091399906,4.962704098360656
7.087688545942354,125.5700486243876,4.962704098360656
7.3553011336941045,125.28094893781663,4.962704098360656
7.427623178389755,125.26320024908088,4.962704098360656
7.017952166465433,125.500593915596,4.962704098360656
7.067477841865201,125.51310664852925,4.962704098360656
