model,target,RMSE_J,MAE_J,R2
AdaBoost (Baseline),Effective GHI — effective_GHI_J (J/m²/day),5213.460335859108,4309.51952478524,0.9993541106279689
FI-AdaBoost (Proposed),Effective GHI — effective_GHI_J (J/m²/day),3366.8028251414385,2725.902148052437,0.9997306348810385
