pipeline,model,tuning_method,objective_metric,target,target_unit,features,Hyperparameter,Sampling Range / Options,Selection Method
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",max_depth,1-5,Sampled by Optuna TPE per trial
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",min_samples_split,2 (fixed default; not sampled),Fixed
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",min_samples_leaf,1 (fixed default; not sampled),Fixed
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",loss,"linear (fixed default; sklearn options: linear, square, exponential)",Fixed
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",random_state,42,Fixed for reproducibility
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",Number of trials,100,Fixed
daily_temporal,"AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",Validation method,5-fold TimeSeriesSplit,Fixed
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",n_estimators,50-300,Sampled by Optuna TPE per trial
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",learning_rate,0.01-2.00 log scale,Sampled by Optuna TPE per trial
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",max_depth,1-6,Sampled by Optuna TPE per trial
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",min_samples_split,2 (fixed default; not sampled),Fixed
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",min_samples_leaf,1 (fixed default; not sampled),Fixed
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",loss,custom FI-modulated loss,Fixed
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",random_state,42,Fixed for reproducibility
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",Number of trials,100,Fixed
daily_temporal,"FI-AdaBoost (Daily, Temporal Split)",Optuna TPE,mean_validation_RMSE_J,GHI_J,J/m2/day,"month_sin,month_cos,season,T2M,RH2M,ALLSKY_KT,clear_sky_ratio,sunshine_hours,mean_orientation_score,mean_shading_factor,mean_SEI_norm",Validation method,5-fold TimeSeriesSplit,Fixed
