model,split,RMSE_J,MAE_J,R2
"AdaBoost (Daily, Temporal Split)",temporal_80_20,1031070.9825890844,896566.0720836329,0.9044482629511268
"FI-AdaBoost (Daily, Temporal Split)",temporal_80_20,1075806.4008040896,933027.9488528986,0.8959769208549262
