lat,lon,rooftop_area_sq_m,ada_predicted_irradiance_kWh_m2_day,ada_SEP_kWh_day,ada_SEP_kWh_yr,fi_predicted_irradiance_kWh_m2_day,fi_SEP_kWh_day,fi_SEP_kWh_yr,difference_SEP_kWh_yr
7.248773334197735,125.27903570570392,359.0068693872487,4.827271720170028,1733.0237079398405,632553.6533980417,4.828443598598576,1733.444420345776,632707.2134262082,-153.56002816651016
7.558221686545727,125.3954277223372,20.60223821544115,4.840457784883773,99.72426435596209,36399.35648992616,4.841630151975963,99.74841774207133,36408.17247585603,-8.815985929868475
7.490662726623403,125.52639135686697,51.31255970312841,4.837589404687382,248.22909514724267,90603.61972874358,4.839276197472126,248.31564880271665,90635.21181299158,-31.592084247997263
7.103820406023459,125.43025461395166,113.87990838826556,4.828027705090819,549.8153527517505,200682.60375438895,4.829073264922501,549.9344210095969,200726.06366850287,-43.459914113918785
6.997664387634351,125.48357229485627,596.367161430808,5.078112380132,3028.419465565965,1105373.104931577,5.076648126173616,3027.54623258919,1105054.3748950544,318.73003652272746
7.186504202839463,125.58117279955552,47.6564254232504,4.832907799289529,230.31911011428664,84066.47519171462,4.833409928622783,230.34303980340968,84075.20952824454,-8.734336529916618
7.082643948792924,125.59090669331697,137.70698187202484,4.828027705090819,664.8531236625752,242671.39013683994,4.829073264922501,664.9971045513627,242723.94316124739,-52.55302440744708
6.9846639385362606,125.44143261351788,32.61622265509294,5.110327760397849,166.6795880736387,60838.04964687813,5.110327760397849,166.6795880736387,60838.04964687813,0.0
7.399907576157733,125.29158971069036,75.21923680384404,4.833588921636066,363.5788697089804,132706.28744377784,4.834860804512601,363.67453976825726,132741.2070154139,-34.91957163607003
7.196854508822866,125.37385872374392,41.533702710448715,4.831261477248274,200.6601779124731,73240.96493805268,4.8322047161560775,200.69935411685475,73255.26425265198,-14.29931459929503
7.079287320160814,125.44279219402182,518.345358098301,4.842031836676327,2509.8447263053645,916093.325101458,4.842881695210261,2510.2852465314695,916254.1149839864,-160.7898825283628
7.265220151509025,125.27990276577052,245.10145098971097,4.82770301044191,1183.277012806708,431896.1096744484,4.828510783937028,1183.4749992624322,431968.37473078776,-72.26505633938359
7.391310354866042,125.32641836838724,33.45791203407133,4.8336021796740765,161.72223653523068,59028.6163353592,4.834965950566283,161.76786546177675,59045.27089354851,-16.65455818931514
7.497104383111493,125.42725120945578,37.28312676679267,4.831871810989101,180.14728924999872,65753.76057624954,4.831554682533449,180.1354657095853,65749.44498399863,4.315592250903137
7.159118166085504,125.55344092355652,160.15790141908525,4.832026436218082,773.8872136262294,282468.8329735737,4.832493146476702,773.9619609618208,282496.11575106456,-27.282777490851004
