fold,ada_train_RMSE_J,ada_train_MAE_J,ada_val_RMSE_J,ada_val_MAE_J,ada_train_R2,ada_val_R2,fi_train_RMSE_J,fi_train_MAE_J,fi_val_RMSE_J,fi_val_MAE_J,fi_train_R2,fi_val_R2
1,33771.65888601798,24801.711798141478,33226.35423826724,24130.544270716156,0.973558522143762,0.9726957864991609,6154.648018116762,5203.9758788549825,7068.895257559553,5329.609496052935,0.9991218122421925,0.998764145388282
2,30238.594877393065,21542.240448013607,30417.40087173245,21071.777358073694,0.9786282483727959,0.977891764530557,6638.181209523904,5640.914719127637,6851.261571710765,5818.394740900917,0.9989700524413431,0.9988783664897686
3,32565.343311025797,23640.212262711906,33785.81409881828,25387.174042318886,0.9760987307074972,0.9677542107139869,6523.062550558829,5477.700091222188,6950.677775719254,5657.020841089729,0.9990410129794499,0.9986352328928386
4,33648.73654148714,24129.080787656105,35952.32865929946,25562.61832322874,0.9725131509990301,0.9731210662042366,6889.178045669854,5824.1775003923685,7099.518987056311,5882.481997427212,0.998847814909866,0.9989518683456351
5,31281.315368216456,22355.163109156372,32020.224591849186,23153.257233184824,0.976418153972632,0.9781768498967115,6820.403665914278,5585.041028312497,7425.8123971289515,6086.928579189512,0.9988789423559193,0.9988263012591799
