fold,ada_RMSE_J,ada_MAE_J,ada_R2,fi_RMSE_J,fi_MAE_J,fi_R2
1,1539090.6188885907,1445181.1764705882,0.7624375286197465,1468164.8580608445,1372815.7337662338,0.7838281686952873
2,774393.7374670057,529480.1482746182,0.9433002192786046,691899.3828285431,504844.6192557443,0.9547369722659018
3,603489.9699122969,540090.4270443609,0.9678339705716681,849184.4974297776,717178.068618881,0.9363114360765473
4,420123.0807172284,310579.7729620159,0.977849582751153,376815.7173070587,294063.1968509755,0.9821808556031085
5,324346.87592005706,263741.73744073516,0.9886205843921853,417343.8601170003,305570.7760552825,0.981159666844272
