sample_index,starting_weight,normalized_prediction_error,ada_normalized_prediction_error,fi_normalized_prediction_error,adaboost_updated_weight,fi_adaboost_updated_weight,Phi_i,fi_modulated_loss,adaboost_weight_change,fi_adaboost_weight_change
0,0.000416666666667,0.0150103867695,0.0390309214269,0.0150103867695,0.000400828946556,0.000385656829371,0.926714237866,0.0139103391352,-1.58377201109e-05,-3.1009837296e-05
1,0.000416666666667,0.00590176702588,0.0222593218101,0.00590176702588,0.000389726457033,0.000372278162291,0.927995523388,0.00547681338009,-2.6940209634e-05,-4.43885043753e-05
2,0.000416666666667,0.0154537575116,0.120021144575,0.0154537575116,0.000459059604854,0.000386272064704,0.924765096669,0.0142910955591,4.23929381873e-05,-3.03946019627e-05
3,0.000416666666667,0.0137985141566,0.012695018088,0.0137985141566,0.000383533306814,0.000383666693329,0.918541762553,0.0126745115141,-3.31333598522e-05,-3.2999973338e-05
4,0.000416666666667,0.0019552543147,0.0322371104517,0.0019552543147,0.000396293958046,0.000366581540496,0.917235039396,0.00179342776838,-2.0372708621e-05,-5.00851261702e-05
5,0.000416666666667,0.010186442657,0.000519454424984,0.010186442657,0.000375791475047,0.00037856305091,0.930229962036,0.0094757341661,-4.08751916194e-05,-3.81036157565e-05
6,0.000416666666667,0.0234720491349,0.0130224860469,0.0234720491349,0.000383743715238,0.000398561747044,0.927591534878,0.0217724740838,-3.29229514282e-05,-1.81049196228e-05
7,0.000416666666667,0.0174223304209,0.00888276915891,0.0174223304209,0.000381092290189,0.000389550562267,0.936150209918,0.0163099182808,-3.55743764777e-05,-2.71161044e-05
8,0.000416666666667,0.0124774557955,0.00426339032767,0.0124774557955,0.000378155269894,0.000382092307776,0.937074454597,0.0116923050844,-3.85113967728e-05,-3.45743588909e-05
9,0.000416666666667,0.00686678894462,0.0191795867607,0.00686678894462,0.000387721404318,0.000373670499306,0.927436992082,0.00636851408406,-2.89452623482e-05,-4.29961673606e-05
10,0.000416666666667,0.00750729629749,0.0497375736038,0.00750729629749,0.000408081393712,0.000374713987401,0.937038335916,0.00703462442982,-8.58527295464e-06,-4.19526792658e-05
11,0.000416666666667,0.0307999478612,0.0444477340461,0.0307999478612,0.00040448192006,0.00041055539268,0.936834565193,0.0288544557625,-1.21847466064e-05,-6.1112739868e-06
