fold,baseline_RMSE,baseline_MAE,baseline_R2,fi_RMSE,fi_MAE,fi_R2
1,603.5084758467253,344.88155177697433,0.9200515045766063,563.2294318611647,287.6741553054587,0.9303671405964641
2,515.454730774297,413.86774776138134,0.930482944664658,392.46566089685655,249.8973112232826,0.959699202955283
3,379.43518105660155,271.8196385149305,0.9765841535822583,327.1827390405973,210.8522557564321,0.9825893319022783
4,412.4978699832712,300.16414685082026,0.9687151302590432,320.6416403590325,195.9063831793047,0.9810969982857691
5,461.05323695981446,335.75860063235916,0.9721259725243891,387.13420857666074,235.23881743476326,0.9803473703263056
