date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
2024-05-03,6.8844,26.26,81.51,0.67,7.250792737060687,125.43741689857494
2024-05-04,5.2025,26.65,84.98,0.5,7.250792737060687,125.43741689857494
2024-05-05,6.3521,27.43,79.5,0.62,7.250792737060687,125.43741689857494
2024-05-06,5.8807,27.37,83.22,0.57,7.250792737060687,125.43741689857494
2024-05-07,6.2237,26.2,80.65,0.6,7.250792737060687,125.43741689857494
2024-05-08,6.2045,27.61,79.21,0.6,7.250792737060687,125.43741689857494
2024-05-09,5.7545,28.0,79.49,0.56,7.250792737060687,125.43741689857494
2024-05-10,5.8118,27.73,80.78,0.57,7.250792737060687,125.43741689857494
2024-05-11,5.4598,27.66,81.89,0.53,7.250792737060687,125.43741689857494
2024-05-12,4.6637,27.09,85.83,0.45,7.250792737060687,125.43741689857494
2024-05-13,5.6623,27.62,83.76,0.55,7.250792737060687,125.43741689857494
2024-05-14,6.3547,27.83,78.25,0.62,7.250792737060687,125.43741689857494
2024-05-15,5.6146,27.96,79.56,0.55,7.250792737060687,125.43741689857494
2024-05-16,5.9114,27.8,77.16,0.58,7.250792737060687,125.43741689857494
2024-05-17,6.6082,27.72,78.03,0.65,7.250792737060687,125.43741689857494
2024-05-18,6.0718,28.95,73.47,0.59,7.250792737060687,125.43741689857494
2024-05-19,5.8903,29.41,74.56,0.58,7.250792737060687,125.43741689857494
2024-05-20,5.6758,28.83,75.36,0.56,7.250792737060687,125.43741689857494
2024-05-21,5.465,28.39,81.12,0.54,7.250792737060687,125.43741689857494
2024-05-22,6.1301,28.45,78.31,0.6,7.250792737060687,125.43741689857494
2024-05-23,6.3485,28.22,79.95,0.62,7.250792737060687,125.43741689857494
2024-05-24,4.315,28.03,81.47,0.43,7.250792737060687,125.43741689857494
2024-05-25,5.689,28.27,81.29,0.56,7.250792737060687,125.43741689857494
2024-05-26,5.0662,27.74,84.61,0.5,7.250792737060687,125.43741689857494
2024-05-27,5.3426,27.71,83.0,0.53,7.250792737060687,125.43741689857494
2024-05-28,5.9491,28.2,80.69,0.59,7.250792737060687,125.43741689857494
2024-05-29,5.9227,29.03,75.44,0.59,7.250792737060687,125.43741689857494
2024-05-30,5.7833,28.39,79.15,0.57,7.250792737060687,125.43741689857494
2024-05-31,5.6611,27.6,83.77,0.56,7.250792737060687,125.43741689857494
2024-06-01,4.9111,27.64,84.66,0.49,7.250792737060687,125.43741689857494
2024-06-02,5.8349,28.71,80.32,0.58,7.250792737060687,125.43741689857494
2024-06-03,5.8056,27.86,86.26,0.58,7.250792737060687,125.43741689857494
2024-06-04,5.6546,28.96,77.93,0.56,7.250792737060687,125.43741689857494
2024-06-05,5.2169,28.83,79.9,0.52,7.250792737060687,125.43741689857494
2024-06-06,5.7389,28.11,82.37,0.57,7.250792737060687,125.43741689857494
2024-06-07,5.8236,28.21,77.9,0.58,7.250792737060687,125.43741689857494
