lat,lon,GHI_mean_2024,GHI_mean_J,rooftop_area_sq_m,azimuth,orientation_score,shading_factor,tilt_factor,SEI_norm,effective_GHI_J,Target_eff_J,sunshine_hours,clear_sky_ratio
7.248773334197735,125.27903570570392,4.962704098360656,17865734.754098363,359.0068693872487,36.981890642996206,0.10058715771682,0.0,0.992114701314478,0.0066737312555986,17383674.615858532,17383674.615858532,10.05464480874317,0.7375492460916884
7.558221686545727,125.3954277223372,4.962704098360656,17865734.754098363,20.60223821544115,51.83042104988083,0.1910044702640131,0.0,0.992114701314478,0.0007272460230216,17432135.767552927,17432135.767552927,10.0,0.742470639630929
7.490662726623403,125.52639135686697,4.962704098360656,17865734.754098363,51.31255970312841,50.10845375696711,0.1793317837400649,0.0,0.992114701314478,0.001700608584313,17425879.53391379,17425879.53391379,10.0,0.7465043416851865
7.103820406023459,125.43025461395166,4.962704098360656,17865734.754098363,113.87990838826556,38.30018675576243,0.1076128248213347,0.0,0.992114701314478,0.002264824527888,17387440.17700733,17387440.17700733,10.0,0.7520411216030752
6.997664387634351,125.48357229485627,5.225479234972678,18811725.24590164,596.367161430808,26.000873930160576,0.0506063201311993,0.0,0.992114701314478,0.0055775297919786,18275933.25422502,18275933.25422502,10.0,0.7879756287312442
7.186504202839463,125.58117279955552,4.962704098360656,17865734.754098363,47.6564254232504,43.18236195934515,0.1354103374263772,0.0,0.992114701314478,0.0011926052126945,17402338.86661809,17402338.86661809,10.0,0.7523811047386778
7.082643948792924,125.59090669331697,4.962704098360656,17865734.754098363,137.70698187202484,38.33880326218479,0.1078217757316427,0.0,0.992114701314478,0.0027440110688245,17387552.168853533,17387552.168853533,10.0,0.7539359760582364
6.9846639385362606,125.44143261351788,5.225479234972678,18811725.24590164,32.61622265509294,62.02394185429844,0.2654487151841732,0.0,0.992114701314478,0.0016000653103266,18397179.93743226,18397179.93743226,10.0,0.7879498372727787
7.399907576157733,125.29158971069036,4.962704098360656,17865734.754098363,75.21923680384404,44.51143388236128,0.1434447188621326,0.0,0.992114701314478,0.0019940539549192,17406645.070447423,17406645.070447423,10.057377049180328,0.7388720198365062
7.196854508822866,125.37385872374392,4.962704098360656,17865734.754098363,41.533702710448715,41.33895569883796,0.1245923893382602,0.0,0.992114701314478,0.0009563471840068,17396540.748884313,17396540.748884313,10.0,0.7448857154736727
