lat,lon,GHI_mean_2024,GHI_mean_J,rooftop_area_sq_m,azimuth,orientation_score,shading_factor,tilt_factor,SEI_norm,Target_eff_J,effective_GHI_J,sunshine_hours,clear_sky_ratio
7.248773334197735,125.27903570570392,4.962704098360656,17865734.754098363,599.6858730064445,57.39964925710111,0.2306120289155629,0.0,0.992114701314478,0.025353501947848,17490767.813167654,17490767.813167654,10.046448087431694,0.7374576187146081
7.558221686545728,125.3954277223372,4.962704098360656,17865734.754098363,9.030785650269484,46.28791438996326,0.1544825530840726,0.0,0.992114701314478,0.0002557626672098,17431704.839510802,17431704.839510802,10.0,0.7402880307076685
7.490662726623403,125.52639135686697,4.962704098360656,17865734.754098363,18.208082725192597,46.52366587157334,0.1559725485000682,0.0,0.992114701314478,0.0005206484334352,17435734.232738353,17435734.232738353,10.0,0.746522994932467
7.103820406023459,125.43025461395166,4.962704098360656,17865734.754098363,111.3595467029408,43.52510450635863,0.1374636527481368,0.0,0.992114701314478,0.0028063867049248,17437902.911836486,17437902.911836486,10.0,0.7450608095943285
6.997664387634351,125.48357229485627,5.225479234972678,18811725.24590164,82.7499758905258,66.47807970977867,0.3004500551437287,0.0,0.992114701314478,0.0045579792503683,18467781.1470361,18467781.1470361,10.0,0.798680688867907
7.186504202839463,125.58117279955552,4.962704098360656,17865734.754098363,51.17954186697888,28.269996079286464,0.0596372513901643,0.0,0.992114701314478,0.000559559396261,17386952.445059266,17386952.445059266,10.0,0.7530947816890451
7.082643948792924,125.59090669331697,4.962704098360656,17865734.754098363,154.18285871229446,46.98024459239572,0.1588747559936752,0.05,0.992114701314478,0.0042662546567666,17426211.713521935,17426211.713521935,10.0,0.7537837732059025
6.9846639385362606,125.44143261351788,5.225479234972678,18811725.24590164,2570.773855452828,69.40123054516705,0.3240892277438552,0.0,0.992114701314478,0.1527427657741243,18482689.902192388,18482689.902192388,10.0,0.7813996419280457
7.399907576157733,125.29158971069036,4.962704098360656,17865734.754098363,16.306602862134543,44.588812310874694,0.1439184318832836,0.0,0.992114701314478,0.0004302412954049,17430160.53616793,17430160.53616793,10.057377049180328,0.7388721173322617
7.196854508822866,125.37385872374392,4.962704098360656,17865734.754098363,25.394804697946626,46.70466987027729,0.1571204830933632,0.0,0.992114701314478,0.0007314924748723,17446531.86681194,17446531.86681194,10.0,0.7448917428745256
