lat,lon,GHI_mean_2024,rooftop_area_sq_m,orientation_score,shading_factor,tilt_factor,SEI_norm,GHI_mean_J
7.248773334197735,125.27903570570392,4.962704098360656,152.56893346153464,0.09039772262250961,0.00891089108910891,0.9921147013144779,0.0017276363375229476,17865734.754098363
7.558221686545727,125.3954277223372,4.962704098360656,20.732339584756552,0.14466106890408575,0.0,0.9921147013144779,0.00037906702782000137,17865734.754098363
7.490662726623403,125.52639135686697,4.962704098360656,34.250801291316904,0.17699059622462832,0.0,0.9921147013144779,0.0007661908389613963,17865734.754098363
7.103820406023459,125.43025461395166,4.962704098360656,186.00844036977605,0.06837345944878154,0.0,0.9921147013144779,0.0016074454068924784,17865734.754098363
6.997664387634351,125.48357229485627,5.225479234972678,196.3786733633416,0.36323707153866636,0.0029702970297029703,0.9921147013144779,0.00898894267509025,18811725.24590164
7.186504202839463,125.58117279955552,4.962704098360656,1303.4480847426548,0.07746203685873121,0.0,0.9921147013144779,0.012761410452286548,17865734.754098363
7.082643948792924,125.59090669331697,4.962704098360656,154.18285871180294,0.15887475599367523,0.023762376237623763,0.9921147013144779,0.003022473890689233,17865734.754098363
6.9846639385362606,125.44143261351788,5.225479234972678,1928.1692466563543,0.07141552779728577,0.0029702970297029703,0.9921147013144779,0.017352494895296493,18811725.24590164
7.399907576157733,125.29158971069036,4.962704098360656,16.306602862134543,0.14391843188328368,0.0,0.9921147013144779,0.00029661693246628386,17865734.754098363
7.196854508822866,125.37385872374392,4.962704098360656,48.81293965532989,0.14828289344857604,0.0,0.9921147013144779,0.0009148334616029748,17865734.754098363
7.079287320160814,125.44279219402182,4.962704098360656,296.24960789581155,0.10700937456215587,0.0,0.9921147013144779,0.004006781284096184,17865734.754098363
7.265220151509025,125.27990276577052,4.962704098360656,46.88246985629096,0.14351708912702077,0.0,0.9921147013144779,0.0008504134628318551,17865734.754098363
7.391310354866042,125.32641836838724,4.962704098360656,16.6455952422307,0.13656733330133553,0.0,0.9921147013144779,0.0002873175706938878,17865734.754098363
7.497104383111493,125.42725120945578,4.962704098360656,39.40098887009046,0.11004520766959508,0.0,0.9921147013144779,0.0005480173175622963,17865734.754098363
7.159118166085504,125.55344092355652,4.962704098360656,31.126150645007552,0.15106679376969373,0.0029702970297029703,0.9921147013144779,0.0005925411966492339,17865734.754098363
7.143503109561855,125.40342766053098,4.962704098360656,132.172085989714,0.18592145083689243,0.00891089108910891,0.9921147013144779,0.0030782080828720203,17865734.754098363
7.046990719238615,125.5449185816956,4.962704098360656,65.07141840562633,0.1324472194623212,0.0,0.9921147013144779,0.0010893041177400878,17865734.754098363
7.325655051654223,125.43768920734604,4.962704098360656,19.102592360673487,0.1768847898581648,0.0,0.9921147013144779,0.0004270697636798004,17865734.754098363
7.262226399300142,125.53815976464182,4.962704098360656,38.84197132936275,0.1247727497946658,0.0,0.9921147013144779,0.0006125436418030701,17865734.754098363
7.453140947295389,125.48868069323504,4.962704098360656,35.63726304779213,0.16610782652768208,0.0,0.9921147013144779,0.0007481875288621279,17865734.754098363
7.3158061874708435,125.52200452959624,4.962704098360656,27.005667298555228,0.1519645754026081,0.0,0.9921147013144779,0.0005186964796661383,17865734.754098363
7.153650911684933,125.48578919639068,4.962704098360656,87.45322327778294,0.1070863141630341,0.0029702970297029703,0.9921147013144779,0.0011801410442401476,17865734.754098363
7.221583493063817,125.32050742408748,4.962704098360656,211.91658838631264,0.15970274890744818,0.0029702970297029703,0.9921147013144779,0.004264827487075025,17865734.754098363
7.108173117168197,125.62688626210678,4.962704098360656,66.17607091145726,0.18394129671841608,0.01485148514851485,0.9921147013144779,0.001515646620210529,17865734.754098363
7.38618027587731,125.35840037084992,4.962704098360656,36.20265044541166,0.14082394325169878,0.0,0.9921147013144779,0.0006443664120344936,17865734.754098363
7.465417669433643,125.48474605714004,4.962704098360656,35.63726304779213,0.16610782652768208,0.0,0.9921147013144779,0.0007481875288621279,17865734.754098363
7.220192224917745,125.5361984682935,4.962704098360656,54.75051998140005,0.16495583125970403,0.0,0.9921147013144779,0.0011414895692900705,17865734.754098363
7.064672687297201,125.60799823013475,4.962704098360656,1809.060610542528,0.13295902511185426,0.0,0.9921147013144779,0.03040093678357153,17865734.754098363
7.281680519504176,125.2949384322768,4.962704098360656,360.7778315957409,0.11547686651932937,0.0,0.9921147013144779,0.005265636328667271,17865734.754098363
7.408528483420609,125.29064135001028,4.962704098360656,216.6742957269089,0.16899581776589978,0.0029702970297029703,0.9921147013144779,0.0046143174998710314,17865734.754098363
